adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/5OEcsHKZy9TLFz9qXLp5NJN9K8e.jpg,"[16, 12, 14, 35]",1064307,no,Spermageddon,"Two narrative threads: one is an emerging love story between awkward teens Jens and Lisa, who are having sex for the first time; the other, an eventful quest of Simon the Semen and his friends to reach the golden goal, the Egg.",8.2304,/n7SFxle8CVzMXzfV8GNCXqdg78m.jpg,2024-12-28,Spermageddon,False,6.5,114
False,/e40FMjHg2RoypsjxygoTFB5jLUd.jpg,[18],1168719,de,Silent Friend,"On the grounds of a medieval German university town looms an imposing Ginkgo biloba, a tree whose longevity stands in marked contrast to three intimate, human-scaled stories. In 1908, the university’s first female student gains admission into the prestigious botany department, confronting the sexism of both professors and peers. In 1972, amidst counterculture movements, a reserved student finds his attention captured by a fellow housemate and the geranium plant she studies. In 2020, during the COVID-19 pandemic, a neuroscientist from Hong Kong secures the help of a renowned botanist for an experiment on the old ginkgo tree.",5.8299,/a6bfCJSFSnrDhCSL2v3Kmv6DBQk.jpg,2026-01-15,Silent Friend,False,9.0,4
False,/rroo5ANTOLr1JY1JArmpJNQfsEV.jpg,"[35, 18, 10402]",972232,en,K-Pops!,"A washed-up musician travels to Korea to write for K-pop stars, discovering that his long-lost son is set to front one of the country’s hottest new groups. He then jumps at the opportunity to capitalize on his son’s stardom for his own renaissance, but learns that fatherhood is much more fulfilling and meaningful than stardom.",5.9294,/72KQHN1xUO6gWHLRRPyJcCQXlve.jpg,2026-02-27,K-Pops!,False,0.0,0
False,/6os1TE5l1SJ9G3wTnSU51PsuFJ8.jpg,[18],1239478,da,Begyndelser,"Ane and Thomas are in the middle of a divorce - when Ane suddenly suffers a stroke. They decide to stay together until Ane gets back on her feet, but as she struggles to return to life, love manifests where they least expected it.",6.2074,/AmOrPbcDzcmUhohE7zqKAd14J0A.jpg,2025-06-27,Beginnings,False,6.75,2
False,/gcXbxHjkUwLV4HrE2oJcbP7UGTA.jpg,"[53, 9648]",8740,nl,Spoorloos,"Rex and Saskia, a young couple in love, are on vacation when they stop at a busy service station. Saskia is abducted in broad daylight and three years pass with no answers or closure surrounding her disappearance. Rex has nearly given up all hope when he suddenly begins receiving letters from her abductor.",6.9496,/eE5bbuRJluooG2MjEAsLEYyuJoa.jpg,1988-10-27,The Vanishing,False,7.439,771
False,/1WkCbHamijDjv8hiBZztSLE2ujL.jpg,[18],1464883,en,The President's Cake,"In 1990s Iraq, it's 'draw day', when schools select students for the honour of bringing items to their mandatory local celebrations of President Saddam Hussein's birthday. Nine-year-old Lamia lives in the historic marshes with her spirited grandmother, Bibi. Before school, Bibi teaches Lamia clever tricks to avoid being chosen for the baking duties. However, when Musa, the authoritative teacher, calls Lamia's name for the most challenging task–the birthday cake–she has no choice but to accept. Refusing could mean imprisonment or even death.",5.8038,/abdw51gf1oy3UWllAwqGl6WdkiS.jpg,2025-12-26,The President's Cake,False,7.773,11
False,/hv1K6dYUg3ddlAQuuyfCIxZnG2K.jpg,"[35, 10749, 18]",1403737,te,ఫంకీ,A debut director who falls in love with his producer's daughter,5.9126,/iICU2CBNat7q9tm88SzrUFwR1hA.jpg,2026-02-13,Funky,False,0.0,0
False,/fIV03quKs51M0f6kEfmIl93fATe.jpg,"[18, 878]",1552274,en,Okay,"Struggling with the loss of her husband, a widow processes her grief by searching for him amidst the cosmos.",5.7714,/aU7LZUXSwsUqyfeO9tyX1h30F6W.jpg,2026-02-21,Okay,False,0.0,0
False,/sgWDs8ViH0WPSty46TJfgbKREuD.jpg,"[18, 53, 10749]",1403903,pt,Ato Noturno,"An actor and a politician start a secret affair and together discover their fetish for having sex in public places. The closer they get to their dream of fame, the more they feel the urge to put themselves at risk.",6.1125,/8OFtmLWN5vQrmvIqIG7kEpPURG6.jpg,2026-01-15,Night Stage,False,0.0,0
False,/5U3VLeWr2H4Nd3G7IkHItFimsIz.jpg,"[10751, 35, 12, 16, 878]",870360,en,The Day the Earth Blew Up: A Looney Tunes Movie,"Porky and Daffy, the classic animated odd couple, turn into unlikely heroes when their antics at the local bubble gum factory uncover a secret alien mind control plot. Against all odds, the two are determined to save their town (and the world!)...that is if they don't drive each other crazy in the process.",6.354,/s2lB1kaYCdGSnZX5meQCiOR6HfX.jpg,2024-08-01,The Day the Earth Blew Up: A Looney Tunes Movie,False,7.599,197
